Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,63.099998,64.449997,61.700001,62.049999,62.049999,3785795
2020-10-05,63.849998,64.250000,61.500000,62.200001,62.200001,3445668
2020-10-06,64.099998,66.199997,63.299999,65.050003,65.050003,11335555
2020-10-07,64.949997,64.949997,63.000000,64.199997,64.199997,3817552
2020-10-08,64.699997,64.800003,62.500000,62.799999,62.799999,2600772
2020-10-09,63.000000,63.500000,61.099998,61.450001,61.450001,2868894
2020-10-12,61.950001,62.099998,58.700001,59.450001,59.450001,3871232
2020-10-13,58.900002,60.049999,58.099998,58.299999,58.299999,3426168
2020-10-14,58.000000,58.500000,55.299999,55.650002,55.650002,6804231
2020-10-15,55.650002,57.450001,54.000000,54.200001,54.200001,6519974
2020-10-16,55.500000,56.150002,54.549999,55.849998,55.849998,4587330
2020-10-19,56.549999,57.150002,55.450001,55.900002,55.900002,3955917
2020-10-20,55.400002,55.700001,54.599998,55.299999,55.299999,6566991
2020-10-21,55.650002,56.599998,54.650002,55.549999,55.549999,5805111
2020-10-22,55.349998,57.099998,55.000000,56.650002,56.650002,6875994
2020-10-23,57.250000,58.099998,56.500000,57.450001,57.450001,6145879
2020-10-26,58.400002,59.000000,55.200001,55.500000,55.500000,7421137
2020-10-27,55.799999,56.549999,54.650002,56.250000,56.250000,3744016
2020-10-28,57.349998,60.200001,56.299999,56.650002,56.650002,12604748
2020-10-29,55.599998,56.150002,55.000000,55.299999,55.299999,4239126
2020-10-30,55.500000,56.500000,54.750000,55.549999,55.549999,4196401
2020-11-02,56.049999,56.299999,54.500000,54.950001,54.950001,3598982
2020-11-03,55.799999,56.299999,55.099998,55.299999,55.299999,2781017
2020-11-04,55.599998,55.900002,55.000000,55.099998,55.099998,3175158
2020-11-05,55.500000,56.299999,55.049999,56.150002,56.150002,3101660
2020-11-06,56.450001,57.599998,56.000000,56.500000,56.500000,3600697
2020-11-09,57.000000,57.799999,56.500000,57.450001,57.450001,2827713
2020-11-10,58.200001,59.400002,57.200001,57.650002,57.650002,7303870
2020-11-11,57.799999,61.450001,57.700001,61.049999,61.049999,12817258
2020-11-12,60.900002,62.900002,60.549999,61.750000,61.750000,9312312
2020-11-13,61.299999,63.150002,60.500000,61.849998,61.849998,5377408
2020-11-14,null,null,null,null,null,null
2020-11-17,65.000000,69.900002,64.699997,69.099998,69.099998,13110101
2020-11-18,69.099998,77.949997,69.000000,76.050003,76.050003,25823253
2020-11-19,76.150002,78.199997,71.400002,72.150002,72.150002,16584908
2020-11-20,72.599998,73.699997,71.050003,72.650002,72.650002,7351319
2020-11-23,73.250000,74.949997,70.400002,72.650002,72.650002,6362105
2020-11-24,73.050003,74.800003,72.800003,74.099998,74.099998,5206154
2020-11-25,75.000000,76.300003,73.250000,75.050003,75.050003,8060260
2020-11-26,74.849998,77.000000,73.650002,75.849998,75.849998,5444305
2020-11-27,76.900002,79.800003,76.250000,78.150002,78.150002,12290330
2020-12-01,78.849998,79.599998,77.300003,78.099998,78.099998,7625111
2020-12-02,80.150002,81.250000,77.800003,78.599998,78.599998,9010259
2020-12-03,79.000000,79.349998,77.750000,78.099998,78.099998,4927421
2020-12-04,78.599998,79.599998,75.849998,77.250000,77.250000,6246333
2020-12-07,77.449997,78.699997,75.599998,76.150002,76.150002,5598101
2020-12-08,77.000000,77.800003,74.750000,75.750000,75.750000,5339883
2020-12-09,76.000000,78.199997,75.300003,76.199997,76.199997,5670398
2020-12-10,76.000000,76.199997,74.099998,74.800003,74.800003,3179790
2020-12-11,75.150002,76.449997,74.000000,74.699997,74.699997,3846396
2020-12-14,75.300003,76.750000,75.000000,75.849998,75.849998,3422647
2020-12-15,75.000000,75.800003,73.550003,75.500000,75.500000,4303809
2020-12-16,76.599998,77.199997,75.599998,76.050003,76.050003,4295841
2020-12-17,76.800003,77.050003,76.199997,76.449997,76.449997,2850679
2020-12-18,76.099998,76.349998,74.000000,75.599998,75.599998,3659138
2020-12-21,74.150002,74.500000,66.099998,68.050003,68.050003,8063274
2020-12-22,68.050003,69.750000,64.000000,67.550003,67.550003,9551922
2020-12-23,67.599998,69.800003,67.150002,69.300003,69.300003,5709170
2020-12-24,71.900002,73.349998,71.000000,72.849998,72.849998,6037366
2020-12-28,75.099998,77.599998,75.099998,77.199997,77.199997,12225440
2020-12-29,78.000000,78.599998,75.300003,76.400002,76.400002,5571507
2020-12-30,76.300003,77.250000,74.599998,76.800003,76.800003,3336184
