,Open,High,Low,Close,Volume,Year,Month,Day
0,135.699997,136.5,132.600006,133.5,1674311.0,2020,10,01
1,137.0,137.5,132.050003,133.899994,2800303.0,2020,10,05
3,144.100006,144.5,139.800003,141.0,4032654.0,2020,10,07
4,142.800003,143.350006,139.649994,140.899994,2491175.0,2020,10,08
5,141.399994,142.649994,138.0,138.449997,1423879.0,2020,10,09
6,139.550003,139.850006,133.050003,135.850006,2787824.0,2020,10,12
7,135.550003,137.100006,132.850006,134.100006,1370296.0,2020,10,13
8,134.0,134.600006,128.800003,130.699997,1752029.0,2020,10,14
9,131.899994,134.350006,126.5,127.0,3983711.0,2020,10,15
10,129.800003,130.0,126.0,127.699997,3339831.0,2020,10,16
11,130.699997,130.699997,127.849998,128.25,1667032.0,2020,10,19
12,128.0,130.25,126.400002,129.649994,2072303.0,2020,10,20
13,131.25,133.0,128.25,130.25,3493665.0,2020,10,21
14,129.050003,134.5,128.449997,133.449997,3949368.0,2020,10,22
15,134.850006,138.899994,134.149994,137.0,3019050.0,2020,10,23
16,139.399994,140.75,131.199997,133.649994,6481648.0,2020,10,26
17,134.0,136.800003,131.0,135.699997,2354638.0,2020,10,27
19,132.399994,133.0,130.0,131.899994,3900882.0,2020,10,29
20,132.899994,134.5,130.300003,132.699997,3535203.0,2020,10,30
21,133.699997,134.0,131.100006,132.850006,3930814.0,2020,11,02
22,134.850006,137.350006,133.649994,134.100006,4349169.0,2020,11,03
23,134.649994,137.0,134.0,135.850006,4467240.0,2020,11,04
24,136.949997,138.0,136.0,137.649994,1869117.0,2020,11,05
25,137.899994,142.25,137.75,138.899994,4560932.0,2020,11,06
26,140.350006,141.5,138.75,141.0,1864786.0,2020,11,09
27,143.25,146.550003,142.699997,146.0,6295710.0,2020,11,10
29,150.0,153.800003,150.0,151.149994,3728837.0,2020,11,12
30,150.0,150.0,145.5,146.350006,1759776.0,2020,11,13
34,170.0,171.550003,165.550003,169.0,3049951.0,2020,11,20
35,169.699997,173.899994,165.600006,170.600006,2467428.0,2020,11,23
36,172.300003,175.550003,171.199997,172.0,2891967.0,2020,11,24
37,175.0,176.850006,169.25,171.399994,2574062.0,2020,11,25
38,171.699997,174.899994,171.050003,173.75,1363494.0,2020,11,26
40,183.25,183.25,178.100006,179.699997,2381640.0,2020,12,01
41,184.100006,187.300003,181.149994,183.550003,5202699.0,2020,12,02
42,185.0,186.0,183.300003,184.800003,2377418.0,2020,12,03
43,186.699997,188.75,182.25,184.149994,3479711.0,2020,12,04
44,184.699997,186.449997,182.800003,183.550003,3447221.0,2020,12,07
45,185.350006,185.699997,178.949997,181.75,2359362.0,2020,12,08
46,182.649994,186.399994,181.800003,182.699997,2954649.0,2020,12,09
47,182.699997,182.75,176.449997,177.600006,3178214.0,2020,12,10
48,178.100006,181.449997,176.600006,178.800003,3009313.0,2020,12,11
49,181.0,181.0,176.800003,177.600006,3755794.0,2020,12,14
50,176.800003,179.5,173.300003,178.800003,1890994.0,2020,12,15
51,181.0,183.800003,180.300003,182.5,3455087.0,2020,12,16
52,183.600006,184.149994,180.649994,181.649994,1878837.0,2020,12,17
53,181.100006,181.449997,176.699997,180.5,1595408.0,2020,12,18
54,176.5,177.5,162.449997,164.550003,3742380.0,2020,12,21
56,165.699997,169.699997,163.350006,169.199997,6186133.0,2020,12,23
57,171.5,177.899994,171.5,175.899994,5228776.0,2020,12,24
58,180.0,187.449997,179.0,186.300003,4106762.0,2020,12,28
59,188.0,188.600006,181.050003,183.399994,3312073.0,2020,12,29
60,183.300003,185.300003,180.449997,184.0,1478809.0,2020,12,30
61,185.0,187.5,182.850006,183.699997,2122018.0,2020,12,31
62,185.25,187.0,184.550003,186.449997,1158750.0,2021,01,01
63,192.0,193.0,188.800003,191.199997,2832471.0,2021,01,04
64,187.0,193.949997,185.050003,193.25,3650476.0,2021,01,05
65,194.050003,197.449997,190.699997,195.350006,5666225.0,2021,01,06
66,197.0,200.350006,195.449997,196.699997,4978434.0,2021,01,07
67,199.149994,201.449997,197.25,198.100006,3221977.0,2021,01,08
71,243.0,249.800003,238.600006,245.149994,4130572.0,2021,01,14
74,251.699997,261.700012,251.399994,258.850006,6386190.0,2021,01,19
79,278.0,278.0,265.75,267.399994,6060640.0,2021,01,27
85,330.700012,334.399994,322.5,326.100006,6925075.0,2021,02,04
86,328.899994,329.899994,312.850006,315.899994,5787491.0,2021,02,05
87,318.950012,339.25,316.799988,335.850006,5875468.0,2021,02,08
88,337.0,338.549988,322.149994,325.100006,5406350.0,2021,02,09
90,326.049988,331.350006,323.0,324.899994,4273371.0,2021,02,11
91,326.549988,330.399994,321.350006,325.25,3578496.0,2021,02,12
92,330.399994,335.600006,324.049988,333.299988,3847809.0,2021,02,15
93,335.799988,337.899994,327.600006,329.049988,3878347.0,2021,02,16
94,327.0,334.25,325.549988,330.100006,2708521.0,2021,02,17
95,331.5,331.899994,317.649994,323.299988,2511859.0,2021,02,18
96,322.5,322.5,301.5,312.0,4202696.0,2021,02,19
97,311.549988,314.0,302.149994,304.149994,5997129.0,2021,02,22
98,308.0,328.799988,308.0,324.100006,6654359.0,2021,02,23
101,324.0,333.0,318.799988,323.0,4893904.0,2021,02,26
102,329.899994,331.850006,322.549988,328.100006,5221906.0,2021,03,01
103,330.700012,347.100006,326.649994,345.700012,6450114.0,2021,03,02
104,348.700012,357.0,346.600006,348.5,4442426.0,2021,03,03
105,340.799988,345.299988,337.25,339.200012,5215719.0,2021,03,04
107,331.5,331.549988,318.850006,321.25,4669627.0,2021,03,08
108,325.299988,328.25,309.700012,315.200012,6082763.0,2021,03,09
109,320.0,324.399994,316.75,321.350006,3898952.0,2021,03,10
110,325.899994,326.350006,314.299988,317.450012,2103674.0,2021,03,12
111,320.399994,320.649994,310.100006,318.450012,2305974.0,2021,03,15
112,320.299988,321.799988,315.299988,319.75,1860583.0,2021,03,16
113,317.0,320.0,304.0,305.850006,2202123.0,2021,03,17
114,310.600006,316.5,299.75,306.899994,5997189.0,2021,03,18
115,303.299988,311.0,290.350006,308.950012,5202269.0,2021,03,19
116,308.899994,308.899994,300.100006,303.049988,2657465.0,2021,03,22
117,305.0,312.100006,304.100006,307.299988,3010510.0,2021,03,23
118,304.0,305.049988,293.299988,294.450012,3362176.0,2021,03,24
119,294.299988,294.299988,282.350006,285.5,4386750.0,2021,03,25
120,292.0,301.5,290.399994,296.299988,3688101.0,2021,03,26
121,300.0,301.399994,292.700012,296.950012,2471291.0,2021,03,30
122,298.649994,307.5,297.549988,301.850006,3236502.0,2021,03,31
